                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.64758,                0.82583,                 1.0642,                0.74199,                 1.0231,                 1.0733,                0.71265,                0.55935,                0.65188,                0.52133,                0.69491,                0.97577,                 1.1245,                0.74436,                  1.125,                 1.1247,             0.00024747,             0.00024747,             0.00024747
                     36,                0.63006,                0.79279,                 1.0528,                0.71864,                0.97146,                 1.0622,                0.65327,                0.58974,                0.64382,                0.51602,                0.68245,                0.99986,                  1.114,                0.74149,                 1.1086,                 1.1219,             0.00023334,             0.00023334,             0.00023334
                     37,                0.62564,                0.80007,                 1.0433,                0.72305,                0.99156,                  1.054,                0.66588,                0.57055,                0.62889,                0.50688,                0.69046,                 1.0124,                 1.1112,                0.74421,                 1.1627,                 1.1124,              0.0002192,              0.0002192,              0.0002192
                     38,                0.61179,                0.77277,                 1.0378,                0.69995,                0.93327,                 1.0507,                0.67093,                0.58569,                0.63822,                0.51564,                0.67949,                0.99856,                 1.1077,                0.72944,                 1.1072,                 1.1034,             0.00020506,             0.00020506,             0.00020506
                     39,                0.62109,                 0.7648,                 1.0433,                 0.7058,                0.93664,                 1.0571,                0.66228,                0.57402,                0.63573,                0.51286,                0.68633,                 1.0149,                 1.1204,                0.74078,                 1.1377,                  1.123,             0.00019092,             0.00019092,             0.00019092
                     40,                0.60928,                0.75438,                 1.0404,                0.69836,                0.92533,                 1.0513,                 0.7128,                0.55097,                0.64646,                 0.5235,                0.67522,                0.99181,                 1.1177,                0.73088,                 1.1061,                 1.1181,             0.00017679,             0.00017679,             0.00017679
                     41,                0.56955,                0.70675,                 1.0385,                0.64479,                0.81174,                 1.0553,                 0.6631,                0.58559,                0.64856,                0.52445,                0.66758,                0.95365,                 1.1133,                0.72696,                 1.0867,                 1.1239,             0.00016265,             0.00016265,             0.00016265
                     42,                0.55448,                0.67008,                 1.0283,                0.61894,                0.75642,                 1.0398,                0.66865,                 0.5993,                0.64726,                0.52431,                0.66693,                0.97287,                 1.1149,                0.73104,                 1.0869,                 1.1287,             0.00014851,             0.00014851,             0.00014851
                     43,                0.55312,                0.65824,                 1.0208,                0.62118,                0.75917,                 1.0342,                0.68169,                0.59084,                 0.6453,                0.52449,                0.65482,                0.93637,                 1.1114,                0.72601,                 1.0721,                 1.1198,             0.00013437,             0.00013437,             0.00013437
                     44,                 0.5445,                0.64004,                 1.0197,                0.61381,                0.73665,                 1.0313,                0.61717,                0.63733,                0.64542,                0.52381,                0.66709,                0.97438,                 1.1164,                0.72264,                 1.1181,                 1.1217,             0.00012024,             0.00012024,             0.00012024
                     45,                 0.5416,                0.63123,                 1.0091,                0.61185,                0.72531,                 1.0253,                 0.6683,                0.59963,                0.64308,                0.52316,                0.65873,                0.97575,                 1.1141,                0.72682,                  1.112,                 1.1277,              0.0001061,              0.0001061,              0.0001061
                     46,                0.52622,                0.61092,                 1.0095,                0.59084,                0.69478,                 1.0205,                0.69141,                 0.5883,                0.63922,                 0.5255,                0.65189,                0.97728,                 1.1144,                0.71779,                  1.116,                 1.1241,             9.1963e-05,             9.1963e-05,             9.1963e-05
                     47,                0.52415,                0.60169,                 1.0021,                 0.5915,                 0.6874,                 1.0171,                0.67222,                0.61136,                0.64425,                0.52341,                0.65913,                0.97405,                 1.1191,                0.72661,                 1.1302,                 1.1293,             7.7826e-05,             7.7826e-05,             7.7826e-05
                     48,                0.52187,                0.58737,                0.99139,                0.58616,                0.66932,                  1.006,                0.71093,                0.57437,                0.64653,                0.52752,                0.65921,                0.97947,                 1.1217,                0.72296,                 1.1433,                 1.1314,             6.3689e-05,             6.3689e-05,             6.3689e-05
                     49,                0.50778,                0.57344,                0.98672,                 0.5618,                 0.6566,                0.99779,                 0.6916,                0.58243,                0.64308,                0.52611,                0.65174,                0.98061,                  1.116,                0.71859,                  1.143,                 1.1336,             4.9552e-05,             4.9552e-05,             4.9552e-05
                     50,                0.50618,                0.57014,                0.99123,                0.57101,                0.65654,                 1.0042,                0.66726,                0.60187,                0.64332,                0.52642,                0.65324,                0.97869,                 1.1184,                0.72396,                 1.1425,                 1.1316,             3.5414e-05,             3.5414e-05,             3.5414e-05
